,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2015,5.76,4.42,,14.55,11.17,,19.41,49.01,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22,,27.3,1.62,40.29,,20.1,0.91,,,,,,,176.05,"1,231.06","63,994.11",442.95,,,
,2016,5.25,4.09,,13.44,10.46,,18.85,48.24,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.36,,27.97,1.53,41.38,,20.65,0.98,,,,,,,173.44,"1,230.42","65,608.42",449.57,,,
,2017,5.24,3.62,,13.6,9.41,,17.98,46.69,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,27.69,1.4,39.74,,20.38,0.98,,,,,,,165.71,"1,202.77","69,871.26",455.67,,,
,2018,4.36,3.24,,11.45,8.51,,17.86,46.93,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.83,,29.16,1.41,39.2,,20.42,1.12,,,,,,,158.46,"1,198.03","78,980.80",473.45,,,
,2019,3.82,3.07,,10.11,8.12,,14.57,38.6,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.83,,30.23,1.51,37.6,,20.44,1.33,,,,,,,141.47,"1,219.40","87,211.52",470.86,,,
Luxembourg,2010,152.26,,,88.62,,,181.48,105.63,,,,,,,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.19,,60.08,,84.19,,51.13,,,,,,,,"1,925.51","1,282.00",,,,,
,2011,151.44,,,85.95,,,186.83,106.04,,,,,,,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.48,,58.71,,83.11,,51.69,,,,,,,,"2,127.97","1,827.46",,,,,
,2012,150.21,,,82.98,,,182.3,100.71,,,,,,,20.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.68,,60.44,,83.88,,53.79,,,,,,,,"3,054.46","1,387.16",,,,,
,2013,151.85,,,81.72,,,181.89,97.89,,,,,,,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.82,,61.32,,84.65,,53.96,,,,,,,,"3,042.59","1,408.65",,,,,
,2014,151.85,,,79.57,,,200.82,105.23,,,,,,,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.32,,60.58,,82.84,,54.05,,,,,,,,"3,136.99","1,433.88",,,,,
,2015,150.62,,,76.84,,,212.35,108.33,,,,,,,19.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.54,,61.89,,91.76,,55.65,,,,,,,,"3,051.71","1,465.73",,,,,
,2016,153.91,,,76.72,,,221.81,110.56,,,,,,,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.98,,62.11,,94.66,,56.02,,,,,,,,"3,246.36","1,460.38","35,934.20",193.46,,,
,2017,147.74,,,71.72,,,237.86,115.48,,,,,,,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.27,,63.46,,99.86,,57.92,,,,,,,,"3,605.43","1,538.13","41,419.74",204.66,,,
,2018,144.03,,,68.44,,,245.27,116.54,,,,,,,17.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75,,64.8,,102.52,,58.67,,,,,,,,"3,578.43","2,144.81","44,719.03",233.09,,,
,2019,138.68,,,64.49,,,244.86,113.87,,,,,,,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48,,64.96,,103.86,,59.61,,,,,,,,"3,919.24","3,072.11","47,250.76",220.9,,,
Madagascar,2010,0.3,,0.84,1.46,,4.07,0.29,1.4,1.22,0.25,6.64,1.36,,,,0.43,2.1,106.32,4.89,32.55,,,,106.32,5.37,39.17,,,,20.46,11.42,12.26,,,,12.13,,,20.46,11.42,12.26,,,,12.13,,,16.04,5.1,5.92,,8.28,2.22,2.78,,0.47,11.36,1.46,0.01,3.86,0.01,,,,,,,2.65
,2011,0.32,,0.93,1.53,,4.39,0.33,1.56,4.22,0.9,15.71,3.33,,,,0.43,2.02,52.26,32.57,41.14,,,,54.12,87.94,50,,,,21.1,10.31,12.88,,,,12.9,,,21.1,10.31,12.88,,,,12.9,,,16.09,5.33,6.43,,7.41,2.15,2.46,,0.57,72.96,7.03,0.04,239.57,0.37,,,,,,,34.09
,2012,0.35,,1,1.61,,4.54,0.38,1.71,8.15,1.79,25.37,5.57,,,,0.42,1.91,53.9,25.96,40.62,,,,59.94,36.52,50.5,,,,21.45,12.05,13.76,,,,14,,,21.45,12.05,13.76,,,,14,,,16.16,5.06,6.39,,7.64,2.08,2.79,,0.6,104.22,10.58,0.08,497,0.61,,,,,,,46.99
,2013,0.38,,1.05,1.68,,4.64,0.41,1.8,10.7,2.43,34.31,7.79,,,,0.42,1.85,59.32,24.92,44.59,,,,69.05,88.75,64.92,,,,24.04,10.96,14.59,,,,14.01,,,24.04,10.96,14.59,,,,14.01,,,14.75,4.26,6.21,,8.56,1.99,3.28,,0.68,129.08,10.74,0.14,627.85,1.21,,,,,,,58.48
,2014,0.45,,1.09,1.9,,4.64,0.48,2.05,43.11,10.13,54.76,12.87,,,,0.43,1.85,60.12,35.69,50.04,,,,78.02,35.1,67.77,,,,29.1,9.17,17.78,,,,14.11,,,33.71,7.87,20.52,,,,15.13,,,14.79,4.25,6.19,,9.16,2.33,2.14,,0.73,157.1,28.98,0.18,"1,471.45",4.51,,,,,,,50.78
,2015,0.5,,1.06,2.06,,4.34,0.56,2.28,58.99,14.34,76.55,18.61,,,,0.46,1.9,73.39,21.66,65.73,,,,94.26,23.55,85.45,,,,31.16,4.57,18.96,,,,14.97,,,31.16,4.57,18.96,,,,14.97,,,16.41,3.42,5.9,,10.28,2.42,2.28,,0.71,176.68,38.49,0.24,"2,031.37",6.6,,,,,,,52.77
,2016,0.55,,1.14,2.2,,4.55,0.64,2.55,72.3,18.16,91.99,23.11,,,,0.47,1.89,72.22,5.64,48.48,,,,97.31,28.63,90.78,,,,28.81,3.82,16.56,,,,16.79,,,28.81,3.82,16.56,,,,16.79,,,16.95,3.46,6.06,,10.28,2.37,2.26,,0.64,277.28,54.15,0.3,"3,757.47",12.76,,,,,,,69.39
,2017,0.6,,1.19,2.32,,4.57,0.73,2.8,99.37,25.78,128.05,33.22,0.57,2.18,,0.47,1.82,79.76,6.32,53.3,,,,108.32,4.05,53.3,,,,31.82,3.96,19.21,,,,15.6,,,42.26,4.23,26.1,,,,13.65,,,18.14,5.68,6.72,,11.08,4.85,2.51,,0.77,412.65,68.63,0.39,"5,830.74",17.85,0.02,39.55,,,,,84.96
,2018,0.64,,1.15,2.38,,4.28,0.79,2.94,52.36,14.02,54.44,14.58,0.02,0.06,,0.46,1.73,86.14,5.63,57.82,,,,118.24,5.03,77,,,,63.23,6.99,55.58,,,,16.76,,,59.01,8.64,51.43,,,,15.63,,,17.71,3.6,6.24,,11.33,2.34,2.33,,0.59,187.22,27.92,0.18,233.88,2.68,0.02,31.65,,,,,8.38
Malawi,2010,2.44,0.83,,2.95,1,,2.52,3.05,,,,,,,0.17,,,190.06,,117.52,,,14.6,,,,,,14.6,17.39,,12.5,,,14.6,,,,,,,,,14.6,,,,17.5,,7.57,0.23,13.29,,2.58,0.32,,,,,,,,,,,,,
,2011,0.93,0.83,,1.09,0.97,,3.35,3.93,,,,,,,0.15,,,192.18,,,,,13.74,287.81,3.42,160.14,,,13.74,,,,,,13.74,,,,17.29,,14.44,,,13.74,,,,23.77,4.04,4.06,0.22,15.84,1.38,0.78,0.27,,,,,,,,,,,,,
,2012,2.96,0.81,,3.36,0.91,,3.91,4.44,,,46.3,40.8,,,0.14,,,212.76,,,,,13.98,243.37,47.52,220.17,,,13.98,,,,,,13.98,,,,19.01,32.25,13.25,,,13.98,,,,23.11,2.86,3.26,0.2,16.75,1.88,2.16,0.24,,22.36,6.63,0.03,57.81,0.08,,,,,,,8.72
,2013,3.04,0.83,,3.34,0.91,,4.36,4.78,,,152.31,138.85,,,0.14,,,247.05,,,,,11.5,258.26,54.55,229.3,,,11.5,,,,,,11.5,,,,20.58,13.87,10.64,,,11.5,,,,23.65,2.52,4.93,0.21,13.35,2.04,1.91,0.21,,84.93,36.14,0.06,"1,397.12",0.43,,,,,,,38.66
,2014,3.13,0.81,,3.32,0.85,,4.76,5.05,,,,,,,0.13,,,,,,,,10.51,,,,,,10.51,,,,,,10.51,,,,,,,,,10.51,,,,,,,0.16,,,,0.19,,,,0.03,,1.86,,,,,,,
,2015,3.29,0.82,,3.37,0.84,,5.08,5.21,,,,,,,0.15,,,106.24,,,,,10.29,323.04,,,,,11.32,,,,,,9.26,,,,22.02,,,,,13.89,,,,22.18,,,0.18,12.97,,,0.15,,,,0.04,,3.38,,,,,,,
,2016,3.02,0.68,1.43,2.99,0.67,1.42,5,4.95,197.57,199.44,256.65,259.08,,,,,,181.7,,,,,,195,,,,,,45.3,53.91,34.2,,,,,,,39.93,100,33.85,,,,,,,20.74,3.55,3.55,0.18,11.25,1.15,1.06,0.16,0.61,374.45,133.08,0.09,"9,172.40",7.79,,,"1,555.03",10.81,,,68.92
,2017,2.31,0.68,1.59,2.21,0.65,1.52,5.19,4.97,215.93,225.43,314.23,328.05,,,,,,148.32,,,,,,176.66,,,,,,17.54,36.85,10.79,,,,,,,13.55,100,11.07,,,,,,,21.63,3.23,2.74,0.22,9.75,1.01,1.22,0.2,0.45,465.51,151.87,0.05,"13,048.25",11.33,,,"1,927.96",14.21,,,85.91
,2018,2.47,0.77,1.63,2.29,0.72,1.51,5.24,4.85,275.91,297.86,387.44,418.26,,,,,,178.87,,,,,,211.87,,,,,,14.61,,,,,,,,,11.96,100,10.08,,,,,,,21.48,4.14,3.04,0.28,10.13,0.78,1.3,0.26,0.55,588.32,241.54,0.03,"18,185.53",18.81,,,"2,561.06",26.49,,,75.29
,2019,2.54,0.8,1.52,2.27,0.71,1.36,5.26,4.71,339.94,379.71,495.68,553.67,,,,,,169.67,,,,,,169.67,,,,,,12.6,,,,,,,,,14.64,100,12.48,,,,,,,20.57,5.05,2.86,0.15,11.09,1,1.74,0.13,0.55,584.18,355.58,0,"26,215.57",29.25,,,"2,552.28",48.85,,,73.73
Malaysia,2010,6.75,,,10.92,,,33.12,53.54,,,,,,,0.27,0.4,0.65,,,,,,,"2,168.73",,,,,,,,,,,,,,,,,,,,,,,,106.24,,49.44,,101.03,15.35,58.22,,,8.23,,0,21.73,0,420.62,"1,293.95",,,719.38,,
,2011,7.13,,,11.25,,,33.98,53.6,,,,,1.4,2.21,0.26,0.4,0.64,,,,,,,"2,224.33",,,,,,,,,,,,,,,,,,,,,,,,110.6,,50.09,,103.01,16.3,59.41,,,12.86,,0,22.52,0,397.57,"1,433.96",,,738.83,,
,2012,7.23,,,11.15,,,34.56,53.29,,,,,1.4,2.16,0.24,0.45,0.69,,,,,,,"2,320.34",,,,,,,,,,,,,,,,,,,,,,,,112.12,,52.4,,107.08,17.84,61.99,,,17.31,,0,19.27,0,382.49,"1,625.24",,,747.58,,
,2013,7.27,,,10.97,,,36.23,54.68,,,,,1.4,2.11,0.23,0.41,0.62,735.05,,735.05,726.62,744.02,,"2,490.85",,,,,,344.17,,326.55,345.56,302.63,,,,,858.53,,817.55,959.37,661.63,,,,,110.19,,53.48,,112.16,19.21,66.13,,,18.4,,0,17.09,0,373.38,"1,756.11","94,293.44",353.31,755.73,,
,2014,7.31,,,10.81,,,35.44,52.39,,,,,1.38,2.04,0.23,0.41,0.61,766.64,,766.64,757.73,776.11,,"2,479.89",,,,,,346.65,,328.82,345.03,307.75,,,,,861.05,,820.05,955.38,671.05,,,,,107.09,,52.51,,112.9,20.6,66.88,,,18.56,,0,13.24,0,362.19,"1,804.94","103,808.89",366.26,758.08,,
,2015,7.38,,,10.69,,,35.39,51.27,,,,,1.37,1.98,0.22,0.36,0.52,771.59,,771.59,762.66,781.07,,"2,317.03",,,,,,336.79,,320.41,329.39,307.04,,,,,851.63,,812.56,933.39,679.05,,,,,104.24,,51.97,,114.23,21.87,67.66,,,,,,,,379.78,"1,860.62","152,920.37",402.65,755.63,,
,2016,7.34,,,10.44,,,34.42,48.96,,,,,1.36,1.94,0.22,0.4,0.56,755.22,,755.22,748.39,762.45,,"2,281.93",,,,,,330.61,,314.58,321.19,303.69,,,,,858.54,,820.08,934.09,693.79,,,,,99.12,,51.44,,113.28,22.57,67.07,,,,,,,,397.32,"1,890.36","210,843.61",420.29,748.52,,
,2017,7.33,,,10.23,,,34.06,47.55,,,,,1.37,1.91,0.23,0.4,0.55,708.83,,708.83,700.93,717.19,,"2,265.38",,,,,,319.78,,305.98,323.27,275.38,,,,,864.26,,819.43,965.17,724.46,,,,,94.66,,48.71,,107.51,21.82,64.18,,,,,,,,419.04,"1,786.00","291,317.10",478.28,722.94,,
,2018,7.47,,,10.24,,,33.99,46.6,,,,,1.37,1.87,0.25,0.39,0.54,705.23,,705.23,697.35,713.57,,"2,242.27",,,,,,318.44,,305.23,321.47,274.01,,,,,869.29,,821.79,962.78,729.64,,,,,95.91,,48.82,,109.8,20.89,65.96,,,,,,,,430.85,"1,773.25","399,473.14",532.12,735.4,,
,2019,7.48,,,10.08,,,33.17,44.71,,,,,1.28,1.73,0.25,0.39,0.53,708.41,,708.41,696.39,721.11,,"2,218.97",,,,,,313.82,,300.4,315.58,271.1,,,,,839.22,,791.3,925.6,707.3,,,,,94.4,,49.32,,109.45,17.45,66.24,,,,,,,,414.78,"1,857.09","556,127.19",555.5,734.83,,
Maldives,2010,106.67,,,11.71,,,150,16.47,,,,,,,1.46,,,978.92,,22.91,,,,,,,,,,105.29,,,,,,,,,,,,,,,,,,43.27,,18.65,,50.12,,9.25,,,,,,,,,,,,,,
,2011,110,,,11.45,,,156.67,16.31,,,,,,,1.39,,,"1,073.62",,"1,004.75",,,,"1,403.78",,"1,314.90",,,,135.81,,133.27,,,,,,,139.19,,135.59,,,,,,,42.77,,18.19,,43.7,,7.81,,,,,,,,,,,,,,
,2012,113.33,,,11.16,,,193.33,19.04,,,,,,,1.31,,,"1,003.33",,947.22,,,,"1,098.33",,"1,026.41",,,,131.13,,128.83,,,,,,,135.43,,131.5,,,,,,,40.46,,19.2,,36.13,,7.03,,,,,,,,,,,,0.23,"56,435.00",
,2013,113.33,,,10.55,,,213.33,19.86,,,,,,,0.93,,,990.05,,876.08,,,,"1,321.10",,"1,141.68",,,,103.04,,100.74,,,,,,,108.63,,104.91,,,,,,,41.39,,19.43,,31.89,,6.99,,,,,,,,,,,,0.28,"52,542.00",
,2014,116.67,,,10.28,,,260,22.92,,,,,316.67,27.91,0.88,,,"1,196.39",,"1,145.92",,,,"1,244.06",,"1,179.51",,,,115.79,,113.05,131.6,78.02,,,,,127.89,,122.55,,,,,,,43.16,,20.26,,28.71,,7.89,,,,,,,,,,,,0.29,"59,543.00",
,2015,120,,,10.04,,,276.67,23.16,,,,,590,49.39,0.84,,,976.76,,938.71,881.1,782.04,,"1,352.82",,"1,281.75","1,182.90",957,,115.76,,112.81,144.71,90.17,,,,,149.83,,146.19,,,,,,,43.63,,20.64,,27.94,,7.91,,,,,,,,,,,,1.98,"91,062.00",
,2016,150,,,11.94,,,320,25.47,,,,,666.67,53.07,1.33,,,984.92,,935.75,935.89,848.7,,"1,374.52",,"1,118.09","1,257.22","1,045.61",,129.92,,129.7,150.54,100.05,,,,,143.75,,138.55,,,,,,,41.2,,18.78,,28.85,,9.36,,,,,,,,,,,,2.01,"108,822.00",
,2017,173.33,,,13.16,,,390,29.61,,,,,826.67,62.76,1.27,,,944.78,,897.4,850.66,981.86,,"1,290.09",,"1,069.86",894.61,"1,007.09",,147.72,,145.23,174.7,116.9,,,,,161.99,,156.85,178.67,119.08,,,,,39.55,,18.59,,30.24,,11.19,,,,,,,,58.14,970.27,,,2.05,"116,835.00",
,2018,180,,,13.11,,,436.67,31.81,26.71,366.67,93.98,"1,290.00","1,286.67",93.74,1.21,,,971.72,,927.39,899.77,976.42,,"1,307.13",,"1,240.97",959.94,"1,782.67",,145.29,,143.38,165.35,121.2,,,,,161.91,,157.37,172.18,126.44,,,,,36,,17.73,,29.57,,11.74,,,68.18,9.75,0,240.49,0.05,65.21,"1,046.89","22,803.83",84.15,2.23,"148,716.00",24.67
,2019,196.67,,,13.87,,,496.67,35.04,94.06,"1,333.33",109.58,"1,553.33","1,296.67",91.48,1.18,,,986.13,,968.56,931.56,"1,038.94",,"1,183.47",,"1,164.07","1,133.73","1,221.09",,134.6,,128.76,138.1,110.31,,,,,166.1,,160.07,173.49,133.6,,,,,37.05,,18.32,,29.45,,12.13,,,92.12,18.45,0,564.78,0.13,74.07,"1,038.37","38,478.52",84.18,2.08,"181,185.00",30.61
Mali,2010,0.24,,,3.66,,,0.18,2.72,,,,,,,,,,97.4,100,82.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,17.75,,,,,21.36,,,,,,,,,,,
,2011,0.28,,,4.27,,,0.22,3.24,,,16.61,1.1,,,,,,124.58,100,111.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,18.37,,,,,58.71,,,,,,,,,,,
,2012,0.33,,,4.83,,,0.23,3.39,,,18.44,1.26,,,,,,154.72,100,132.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,18.49,,,,,94.84,,,,,,,,,,,
,2013,0.35,,,5.06,,,0.28,4.01,,,60.55,4.25,,,,,,144.18,100,128.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.03,,,,20.56,,,,,154.23,52.79,,"1,453.61",3.05,,,,,,,27.54
,2014,0.41,,,5.64,,,0.31,4.3,99.13,7.16,122.62,8.85,,,,,,146.01,,130.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36,,,,22.11,,,,,259.97,132.12,,"5,744.58",11.45,,,,,,,43.48
,2015,0.45,,,6.06,,,0.33,4.46,222.45,16.55,376.08,27.98,,,,,,137.85,,127.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,24.37,,,,,435.76,214.25,,"14,833.81",21.18,,,,,,,69.24
,2016,0.47,,,6.08,,,0.36,4.7,287.26,22.05,467.99,35.93,,,,,,142.98,,127.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.43,,,,26.51,,,,,733.7,234.19,0.33,"15,716.79",26.39,,,,,,,67.11
,2017,0.41,,,5.16,,,0.39,4.88,278.11,22.06,478.21,37.93,,,,,,163.98,,145.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75,,,,26.34,,,,,706.23,237.62,,"19,734.62",30.38,,,,,,,83.05
,2018,0.41,,,5.03,,,0.39,4.72,348.79,28.61,569.65,46.72,,,,,,173.66,,150.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.42,,,,26.32,,,,,622.17,274.96,,"25,648.42",33.9,,,,,,,93.28
,2019,0.42,,,4.96,,,0.44,5.23,445.95,37.86,"1,433.41",121.69,,,,,,174.7,,144.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51,,,,26.41,,,,,678.3,295.65,,"32,594.79",36.79,,,168.84,0.14,,,110.25
Malta,2010,434.38,,,39.45,,,575,52.22,,,,,,,12.49,,,907,,,,,,"3,375.35",,"3,264.64",,,,,,,,,,,,,743.59,,672.43,,,,,,,131.39,,105.66,,117.84,23.05,56.78,,,,,,,,,,,,,,
,2011,459.38,,,41.44,,,612.5,55.26,,,,,,,14.66,,,954.36,,,,,,"3,494.69",,"3,374.34",,,,,,,,,,,,,747.52,,677.1,,,,,,,134.59,,106.57,,118.58,39.45,58.21,,,,,,,,,,,,,,
,2012,425,,,37.91,,,675,60.21,,,,,,,16.17,,,"1,000.21",,,,,,"3,557.95",,"3,430.86",,,,,,,,,,,,,746.21,,675.92,,,,,,,135.09,,107.11,,111.79,39.76,57.95,,,,,,,,516.58,"1,675.81",,,,,
,2013,431.25,,,37.85,,,668.75,58.7,,,,,,,15.63,,,"1,143.71",,,,,,"3,604.08",,"3,472.17",,,,,,,,,,,,,725.52,,658.27,,,,,,,137.83,,108.03,,104.74,35.78,56.19,,,,,,,,510.58,"1,714.27",,,,,
,2014,431.25,,,37.05,,,643.75,55.31,,,,,,,16.11,,,,,,,,,"3,554.02",,"3,429.92",,,,,,,,,,,,,752.21,,687.99,,,,,,,138.21,,106.85,,97.56,32.22,53.78,,,,,,,,500.69,"1,748.14",,,,,
,2015,443.75,,,37.2,,,659.38,55.27,,,,,,,14.93,,,"1,962.62",,,,,,"3,482.18",,"3,364.00",,,,,,,,,,,,,741.15,,667.61,,,,,,,137.26,,104.06,,86.74,29.04,50.31,,,,,,,,486.2,"1,768.47",,,,,
,2016,418.75,,,34.3,,,671.88,55.04,,,,,,,15.1,,,"1,870.92",,,,,,"3,417.98",,"3,301.51",,,,,,,,,,,,,696.76,,641.54,,,,,,,134.9,,103.36,,81.67,25.02,49.12,,,,,,,,470.96,"1,786.95",,,,,
,2017,403.13,,,32.14,,,687.5,54.81,,,,,,,15.69,,,"1,832.37",,"1,707.53","1,811.25","1,602.90",,"4,137.51",,"3,485.61","4,018.62","3,551.85",,,,353.48,431.54,275.06,,,,,674.15,,608.34,644.98,392.21,,,,,129.82,,100.4,,77.45,23.74,47.73,,,,,,,,452.71,"1,802.48",,,,,
,2018,384.38,,,29.61,,,681.25,52.47,,,,,,,15.89,,,"1,279.94",77.51,"1,219.32","1,682.35","1,614.27",,"3,314.23",72.87,"3,205.06","3,423.31","3,429.74",,369.2,95.09,356.09,389.62,319.67,,,,,357.12,94.94,324.77,711.78,496.49,,,,,123.7,18.49,97.42,,75.1,24.69,46.21,,,,,,,,431.73,"1,642.07",,,,,
,2019,371.88,,,27.63,,,659.38,49,,,,,,,15.79,,,"1,261.31",77.61,"1,206.25","1,660.34","1,590.66",,"3,221.24",70.85,"3,117.70","3,343.22","3,342.65",,358.64,95.98,346.38,379.44,313.57,,,,,350.63,95.79,319.75,641.04,480.91,,,,,121.5,17.05,97.61,,75.3,23.54,47.48,,,,,,,,,,,,,,
Marshall Islands,2010,33.33,,,17.58,,,5.56,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,,,,41.32,,,,,,,,,,,,,,,,
,2011,38.89,,,20.46,,,11.11,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33,,,,37.51,,,,,,,,,,,,,,,,
,2012,38.89,,,20.41,,,11.11,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48,,,,34.34,,,,,,,,,,,,,,,,
,2013,38.89,,,20.36,,,11.11,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.42,,,,39.1,,,,,,,,,,,,,,,,
,2014,38.89,,,20.32,,,11.11,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.38,,,,42.99,,,,,,,,,,,,,,,,
,2015,38.89,,,20.29,,,11.11,5.8,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.24,,,,48.7,,,,,,,,,,,,,,,,
,2016,38.89,,,20.26,,,11.11,5.79,,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41,,,,50.43,,,,,,,,,,,,,,,,
,2017,38.89,,,14.42,,,16.67,6.18,,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.73,,,,56.21,,,,,,,,,,,,,,,,
,2018,38.89,,,14.07,,,16.67,6.03,,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29,,,,54.48,,,,,,,,,,,,,,,,
,2019,38.89,,,13.4,,,16.67,5.74,,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9,,,,61.3,,,,,,,,,,,,,,,,
Mauritania,2010,0.09,0.19,,4.29,9.45,,,,,,,,,,,,,,,,,,,108.64,,,,,,,,,,,,,,,,,,,,,,,,151.98,,,2.94,121.28,,,,,,,,,,,,,,,,
,2011,0.09,0.19,,4.25,9.34,,0.09,4.25,,,,,,,,,,,,,,,,117.25,,,,,,,,,,,,,,,,,,,,,,,,148.87,,,2.6,107.66,,,,,,,,,,,,,,,,
